clickability_test_id,headline,clicks,impressions,response_original,response_synthetic
5143605e220cb80002000076,"Here's The Science, Here's The Gay. Open Your Brain, They Were Born That Way!",54.0,4069.0,1.3271073973949374,60.0
5143605e220cb80002000076,"Hey Dude. If You Have An Older Brother, There's A Bigger Chance You're Gay.",41.0,4080.0,1.0049019607843137,0.0
5143605e220cb80002000076,"I've Got Some News For You. Being Gay Is Genetic. Being Irrationally Afraid Of Gay, Not So Much.",40.0,4160.0,0.9615384615384616,40.0
5143605e220cb80002000076,"If You Know Anyone Who Is Afraid Of Gay People, Here's A Cartoon That Will Ease Them Back To Reality",120.0,4155.0,2.888086642599278,10.0
5143605e220cb80002000076,"SCIENCE FACT: Gay Science, Like Straight Science, Is Really Just Plain Old Fact Science",32.0,4132.0,0.7744433688286544,80.0
51436072220cb80002000798,Can You Guess What Happens 34 Times A Day In America?,54.0,2897.0,1.8639972385226096,100.0
51436072220cb80002000798,"Listen To This Nice Woman’s Story, See If You Can Make It Through With Dry Eyes.",41.0,2937.0,1.3959822948586993,60.0
51436072220cb80002000798,This Is The Story No Mother Wants To Tell,37.0,2928.0,1.2636612021857925,10.0
51436072220cb80002000798,This Life-Changing Event Happens To 34 Americans Every Day. Can You Guess What It Is?,33.0,2749.0,1.2004365223717717,90.0
515dcd7f3b3d430002003322,A Person Who Clearly Never Read The Harry Potter Books Has A Dumb Question,112.0,2938.0,3.810999998957322,0.0
515dcd7f3b3d430002003322,One Of The Wrongest Harry Potter Related Anti-Abortion Signs You'll Ever See,143.0,2847.0,5.0150115097289785,0.0
51dc71f1ded0a6cdab006fba,Before You Could Change Your Profile Pics —These Folks Were Fighting The Good Fight,26.0,3391.0,0.76673547626069,60.0
51dc71f1ded0a6cdab006fba,From The Congressional Hall Of Fame: Fighting Back Against DOMA Before It Was Cool,12.0,3020.0,0.3973509933774834,50.0
51dc71f1ded0a6cdab006fba,Profiles In Courage: Speeches Against DOMA Way Back In ‘96,15.0,3151.5,0.4767328350193364,20.0
520acadd77441b9e85000de2,A Police Officer Gets Fired For Exactly The Wrong Reason,79.0,3355.0,2.354694485842027,80.0
520acadd77441b9e85000de2,How Broken Is A System That Allows Cops To Be Fired For Not Writing Enough Tickets?,17.0,2566.0,0.6625097427903351,0.0
520acadd77441b9e85000de2,"If You Thought Cops Might Be Writing Tickets To Fill A Quota, You Were Terrifyingly Correct",56.0,2828.0,1.9801980198019802,20.0
520acadd77441b9e85000de2,The Truth Behind Traffic Ticket Quotas: It's Worse Than I Ever Thought,52.0,2842.0,1.8296973961998593,70.0
5230b6556b65144f07005dfb,Requirement For An Incredible Life: An Amazing Attitude. Entirely Optional: Extremities.,67.0,5685.0,1.1785400175901495,70.0
5230b6556b65144f07005dfb,This Guy Is Going To Show You One Of The Most Important Things You Can Teach Your Kids,115.0,5769.0,1.9934130698561277,40.0
5237f092acf1799e96001966,And Now Presenting: A Perfectly Political Punchline.,77.0,4675.0,1.647058823529412,20.0
5237f092acf1799e96001966,One Of The Best Points I've Ever Heard Was Made In A Single Word,197.0,4941.0,3.9870471564460637,40.0
5237f092acf1799e96001966,Six Letters And A Period Is All It Takes For A Perfect Counterargument,129.0,4643.0,2.7783760499676933,80.0
5237f092acf1799e96001966,"What A Way To Disregard A Little Over 12,000 Years Of History, American News",130.0,4944.0,2.629449838187702,70.0
5243193a562df1973b007c77,"In 10 Seconds, Find Out What Health Insurance Would Cost You In The New Exchange",77.0,5531.0,1.3921533176640752,80.0
5243193a562df1973b007c77,The Calculator That Pretty Much Everyone Graduating With A Liberal Arts Degree Will Need,107.0,6493.0,1.6479285384259972,30.0
5243193a562df1973b007c77,The Folks Trying To Defund Obamacare Probably Just Haven’t Used This Calculator Yet,121.0,6379.0,1.8968490358990435,0.0
5243193a562df1973b007c77,"Wishing For A Magic Obamacare Calculator? Okay, Then You Have 2 Wishes Left.",104.0,6191.0,1.679857858181231,0.0
528117e680e550a858009fe0,A Calm And Rational Explanation Of Why Prohibition Sucks The Hardest Of All American Policies,43.0,8289.0,0.5187598021474243,10.0
528117e680e550a858009fe0,"Dear Clear Example From History, I Didn't Read Your Last Letter. Also, I Acted Like An Idiot.",59.0,9355.0,0.6306787814003207,0.0
528117e680e550a858009fe0,"Hey, Remember That Time Alcohol Prohibition Worked Really Well?",64.0,9336.0,0.6855184233076265,0.0
528117e680e550a858009fe0,"I'm Not Saying Prohibition Is Unbelievably Stupid, But I Am Going To Type It",55.0,8632.0,0.6371640407784986,30.0
528117e680e550a858009fe0,Prohibition: The Policy That Just Won't Die,49.0,8562.0,0.5722961924783929,90.0
52a77c1f63b2539f160002db,Here’s How To Save On Gas Money. Whether You Spend It On Christmas Presents Or Beer Is Up To You.,47.0,5859.0,0.8021846731524152,10.0
52a77c1f63b2539f160002db,I Hate Trying To Pump Gas With Mittens On. Save Yourself A Few Pit Stops With These Tips.,29.0,6441.0,0.4502406458624437,0.0
52a77c1f63b2539f160002db,"So, To Grandmother’s House You Go? How To Get Better Mileage Than A One Horse Open Sleigh.",37.0,6473.0,0.5716051289973737,0.0
52a77c1f63b2539f160002db,"You Could Knit A Giant Sweater To Wrap Around Your Car, Or You Could Try These Tips",36.0,6304.0,0.5710659898477157,0.0
